"date","councilmember","budget","traffic","public transit","utilities-light","utilities-heat","utilities-water","utilities-electric","civil unrest","civil rights","parks","labor","housing","homelessness","political-legislation","political-city council","political-mayor","political-general","crime","police-general","police-controversy","police-political","public safety","public health","public services","covid-general","covid-vaccines","covid-masks","infrastructure","business","real estate","welfare-unemployment","welfare-food","economics","environmental","sports"
2023-11-06,"Herbold",0,1.54353910076808,1.52888321351108,0,0,0,0,0,0,0.6169394204741,0,0,0,0,0,0,0,0,0,0,0,0.02813833565952,0,0,0,0,0,0.90823140113097,0,0,0,0,0,0.2390378696195,0
2023-11-06,"Sawant",0,0,0,0,0,0,0,0.41985210549689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-20,"Mosqueda",1.52542159673912,0,0,0,0,0.0372773203886201,0.16158218190578,0,0,0,0,0.81833771832905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27788505293382,0,0.65385281317098,0,0,0.86339046872067,0,0
2023-10-20,"Sawant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-17,"Mosqueda",0.75809142737851,0,0.0151402738002799,0.0389288446870399,0.95976972513897,0.77597695171519,1.00972991840874,0,0,0,0,0.09694910256949,0,0,0,0.70794079549415,0,0,0.9480039844624,0.46673510919932,1.11164997458838,0,0,0,0.50758081772845,0.06180142027602,0.57733343287016,1.15275292941606,0,0.35624427661391,0.00259292462449001,1.19929007393779,0.80066249637966,0,0
2023-10-16,"Mosqueda",0.32873134644623,0,0,0,0,0,0,0,0,0,0,0.45143761294663,0,0,0,0,0,0,0,0,0,0,0,0.16481222160762,0,0,0,0,0,0.02360598503097,0,0,0,0,0
2023-10-09,"Sawant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-06,"Morales",0,0.57976386167093,0.72227510730195,0,0,0,0,0,0,0,0,0,0,0,0,0.13517549573097,0,0,0.95551948793509,0.66460134418869,1.0650245989493,0.28424827062601,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-27,"Morales",1.02829179591545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50765067890815
2023-09-27,"Morales",0,0,0,0,0,0,0,0.43956077060306,0,0,0,0,0,0,0,0.75890093815578,0,1.22453003578863,1.05160248785905,1.08679520580613,1.2638172869616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-26,"Lewis",1.25173091788183,0,0,0,0,0,0,0,0,0.76277010266619,0.29681870114574,0,0.40564255721151,0,0,0,0,0,0,0,0,1.33475506225774,0.22562526111586,0.98147235270955,0,0,0,0,0,0,0,0.66346770817206,0,0,0
2023-09-25,"Morales",1.44112774344896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19775427179864,0,0,0,0.35017440870144,0,0.0406965393725101
2023-09-23,"Herbold",0,0,0,0,0,0,0,0,0,0.32049914008397,0,0,0,0,0.10256039184161,0.82124450126176,0,0.76403918578934,1.2636216524828,1.89539073074134,1.70660210322728,1.51149747907556,0,1.11866407338526,0,0,0,0,0,0,0,0,0,0,0
2023-09-22,"Morales",0,0,0,0,0,0,0,0.39700102575414,0,0,0,0,0,0,0.78788934651499,0,0.3472505554447,1.05156346559666,1.60674149510898,2.35248398183048,2.17713061317738,1.8029830398302,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-21,"Juarez",1.0270168771718,0,0,0,0,0,0,0,0,0,0,0,0,1.17454441822175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58886075305774
2023-09-21,"Herbold",0,0,0,0,0,0,0,0,0,1.22468890254679,0,0,0,0,0,0,0,0,0,0,0,0,2.77575878045298,0.91451064335723,0,0,0,0,0,0,0,0,0,0,0
2023-09-21,"Morales",0,0,0,0,0,0,0,0,1.21708862568268,1.48419027569915,1.55022078777895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-20,"Sawant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-20,"Sawant",0,0,0,0,0,0,0,0,0,0,0.0284840942172799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,"Lewis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.58781800335921,0.11965547447878,0.78433753778185,0,0.20456241488221,0.95670039148754,0.58217895775152,1.24022198195499,0,1.39475123425162,0.76352066829063,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,"Mosqueda",0.07359013145787,0,0,0,0,0,0,0.00957840313093006,0,0,0,0,0,0.49896992946521,0.09999478031591,0,0.39024230256328,1.07101816365156,0,0,0,0,2.57910410654152,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,"Nelson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17299444008067,0,0.95076150519491,0.96729234580161,1.13100775892358,1.22179216093868,0.740681890089,1.21998411887938,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,"Herbold",0,0,0,0,0,0,0,0,0,1.01116045809237,0,0,0,0.19381593453632,0.22087910444384,0,0,1.21978594989851,1.02605971140871,0.92899800460669,1.08119646411233,0,0.16796567405012,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,"Nelson",0,0,0,0,0,0,0,0,0,0,0,0,0,0.16447090798003,0,0,0,0,0,0,0,1.39883752211797,1.25599418739179,0.06726667163155,0,0.06179194580009,0,0,1.63569681243663,0.23113011266908,0,0.20627676443739,0.5454647729183,0.24360139343794,0.43078380178871
2023-09-15,"Sawant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76917971091796,0.65398133290059,1.04786353813578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13,"Morales",0,0.14784140041987,0,0,0,0,0,0.2276790482305,0,0,0,0,0,0,0,0,0,1.04265056528506,1.55726436308478,2.0617554523872,1.75112272268396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13,"Mosqueda",0,0.26858250553889,1.12125795409683,0.15359628293286,0.1077216179841,0.85043734835453,0.14211786188496,0,0,0,0.21729596081785,0.21736448322683,0,0.35400289669563,0.08568664202195,0,0.40437466862781,0,0,0,0,0,0,0,0,0,0,2.93918513957729,0.38823921016656,0,0,0,0.5276696701299,0,0.0155350205978999
2023-09-07,"Herbold",0,0.37548828332184,0,0,0,0,0,1.30388541323304,0,0.37538267672553,0,0,0,0.0614503122563399,0,0.57484543997829,0,0.78257755692807,1.26940386816246,1.536869366948,1.18709406829363,1.40629500623669,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-05,"Pedersen",0,2.72808976030135,0,0,0,0,0,0,0,1.16344057354097,0,0,0,0.14796238274345,0.09567209189622,0,0,0.31869922792362,0.0345864259078601,0,0,0.5457826057378,0,0,0,0,0,0.32477365669017,0,0,0,0,0,0,0
2023-08-15,"Pedersen",0,0.75987418652114,2.76092656804966,0.84462317804837,0.81034179284364,0.33079797080029,0.61610966061593,0,0,0,0,0.84093215199488,1.06412874984504,0.2535774462881,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46437585999551,0,0,0,0,0,0,0
2023-08-09,"Pedersen",0,0,0,1.09625797473413,1.4189307986759,2.68323884387572,1.20983097281645,0,0,0,0,0.0163918624486199,0,0.51299543483919,0,0,0.51215136088677,0,0,0,0,0,0,0,0,0,0,0,0.17953861231252,0.39265933586861,0,0.00351270045631003,0.56789070730659,0.0408176756317999,0
2023-08-09,"Mosqueda",0.60533318097177,0,0,0.05610629756717,0.54012675715322,0.15938595352328,0.69949837693761,0,0,0,0,0.57402742736868,0.84828792443421,0,0.0452587782981899,0.34934280580955,0,0,0,0,0,1.29351096585645,0,0.36376144377213,0,0,0,0,0.90546648282882,0,0,0.08852359279542,1.1703215234051,0,0
2023-08-09,"Pedersen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7026915100685,0,0,0.88434642542925,0.47670142569843,1.16551733578064,0,0.47898678038173,0,0,0,0,0,0,0,0,0,0,0.87203864239018,0
