date,councilmember,budget,traffic,public transit,utilities-light,utilities-heat,utilities-water,utilities-electric,civil unrest,civil rights,parks,labor,housing,homelessness,political-legislation,political-city council,political-mayor,political-general,crime,police-general,police-controversy,police-political,public safety,public health,public services,covid-general,covid-vaccines,covid-masks,infrastructure,business,real estate,welfare-unemployment,welfare-food,economics,environmental,sports
2017-10-06,Herbold,-0.19322419266472488,-0.7906448635754714,-1.37715588019403,-1.6448408148195859,-1.6658167326700708,-1.2608872932310187,-1.6004972191895588,-1.9613377809268702,-1.6005076771207607,-1.5401887114567723,-1.8095772534295196,-1.272430778400549,-1.2899122976153437,-1.6448089233066134,-0.8233673161310027,-1.295050972958832,-1.3804620360680846,-1.7421008175245656,-1.3657441028313206,-1.497172962457778,-1.292215113357247,-0.024405465664037406,-0.5376656440096316,-1.0633995133249066,-1.6786313224280727,-1.5620217654903272,-1.7377134565256478,-1.3367516112232076,-1.3993923411579112,-1.4778718667577107,-1.3410323220326397,-1.5564835143398241,-1.306501268642404,-1.3632841074897675,-1.8423374994988007
2015-10-21,Burgess,-1.3482754230568135,-1.6375599202816622,-1.367504762852693,-2.0560085655364344,-2.331335452186066,-2.03963745081877,-2.3247388791066963,-2.3639559140264095,-2.0372679528224698,-1.0732195107235745,-2.2615609635573795,-1.7096497534609194,-1.8237207252572871,-1.6815988898364789,-0.9468294066028833,-0.7512983470422128,-1.1207232653663213,-2.283026436840766,-1.8737483618114052,-2.3396692843714453,-1.621808722733367,-1.5689932709348693,-1.8908712050491334,-1.2589174745856062,-2.1610778471647216,-2.170306091327554,-2.340983049035711,-1.1191752844606804,-1.339798700326298,-2.0955072397914885,-1.8507752897329601,-2.298956661745974,-1.3002491860294603,-1.4068934735143162,-2.290567951307753
2022-12-13,Mosqueda,-1.210979560482167,-1.8580790674668801,-2.0509835813658155,-1.8456223253349582,-1.8574834831077331,-1.572928973558509,-1.9061346074103735,-2.2431993214196453,-1.711624024492883,-1.5690495988019373,-1.831419833499417,0.0034774740660270887,-0.20608528656481678,-0.9598131870498363,-0.8070982956723991,-0.9420780888893617,-1.2595582040735063,-2.2672529773597137,-2.1717954664009147,-2.2230770192605385,-1.8219787031331063,-2.0084881403300883,-1.9733349953491444,-1.4645702066197666,-0.7405306125713488,-1.3152258754055686,-1.2411628066330804,-1.3483042082535874,-1.3850471658649806,-1.2253424417774297,-1.5195391638948879,-2.1239217494989133,-1.2756327691380769,-1.605325573544806,-2.2115621122000353
2020-08-11,Pedersen,-0.982246795548456,-1.702736543217038,-1.801241143278928,-1.8149203243788765,-1.8856072416189678,-1.4910381950532685,-1.7459561701025346,-1.6029117587707389,-1.3685251877239366,-1.7553438718302292,-1.560563557122826,-0.4954445942381153,-1.1712731772172993,-1.1297102523043951,-0.974314610047557,-1.020863068915358,-1.2347581003509116,-1.823876869418204,-0.993602866307337,-0.8932317843855753,-0.6825747251835166,-0.5125493172980184,-1.7119685149593091,-1.078172117726766,-1.6305892431881066,-1.4567340062894045,-1.8070538892375148,-1.3693884329955306,-1.341390998009706,-1.3964300544870427,-1.1865981881831449,-1.7755057277489317,-1.3687149836436718,-1.6816088300483143,-1.8634190321000383
2018-02-03,Gonzalez,-1.468462524360499,-1.9741811558816458,-1.8844129665844753,-1.9955753909802103,-2.033829674966101,-1.7560657797147863,-2.007557902172478,-1.6062636810367863,-1.0059912694828894,-1.8380683856031768,-1.8377600319485279,-1.6098655582129486,-1.123847598198884,-1.1572284862446474,-0.6037340903256286,-1.1339023295582935,-1.0587129105321893,-1.81350384419231,-1.740788916650019,-1.6006648567204105,-1.4715227635354968,-1.7641753358706258,-1.7982833089946109,-1.1853077208903688,-1.8390607500847593,-1.7156783883953097,-2.077359312208219,-1.5647196011088207,-1.3805666153801044,-1.9254569296044648,-1.2396241446760354,-1.8724714587660296,-1.4481354124200305,-1.880350112084439,-1.9436000941695635
2018-07-09,Mosqueda,-1.1256148850281469,-1.4072666456336427,-1.4402089218321623,-0.5168081285782503,-1.1631880574155553,-0.8272796696112162,-0.8612515860857021,-1.9451420695305537,-0.9972213105032252,-1.679693889655744,-1.0323010428780088,-0.3999938654030164,-1.448727994006852,-1.408452533614399,-0.6591023645480815,-1.0842454836144164,-1.3107175751626516,-2.1243713369967256,-2.0555774088480674,-1.8915966334253824,-1.7436444495875285,-1.5402715465554018,-1.1466020891608202,-1.180270311454955,-1.633542521541999,-1.4971124928357784,-1.8312848122886507,-1.2060988129270365,-1.3568721531364687,-1.5410384960248389,-1.3578076720316168,-1.8416739903587773,-1.285311429149708,-1.280210754407716,-2.0376622478919466
2018-08-13,Gonzalez,-1.7355585014347983,-1.3787444502979993,-1.9654468159943923,-2.2152691899514574,-2.26779844648419,-2.0889317896622694,-2.3178979424863693,-1.4724242164963337,-1.3959271418944876,-1.765414963121618,-2.048217924510319,-2.2271440155155062,-1.7837059883377706,-1.5765332322437569,-0.9777823979078127,-1.0001646486452822,-1.3082426695033451,-1.3872846454228398,-0.7137889059088125,-1.1980649473425697,-0.533221333880406,-0.5876080639560345,-1.9354776985734363,-1.3388658735718555,-1.7259697175051802,-1.899234029519033,-1.9334296007598188,-1.802468138177379,-1.512767912301283,-1.9362412310950547,-1.6409504644124457,-2.296791352267796,-1.758446253361655,-2.016071279434137,-1.7912166467305182
2016-01-15,O'Brien,-2.019419474120746,-1.7863712076361786,-1.660440113505769,-2.264691716110086,-2.2644908409959092,-2.2776995187356417,-2.333880974766954,-0.6878986405163154,-0.8999699019397283,-2.01025128540442,-1.8618998363911712,-2.3235040148738753,-1.909441798723161,-1.4460678483582352,-1.2088847643816971,-1.3516792208033779,-1.3662682419178995,-1.657735236903892,-1.9676926826059877,-1.6589802484362952,-1.5568180645944145,-1.7722401610732055,-2.0019226304127047,-1.8468660943408817,-2.145101441692027,-2.3016703395770803,-2.355344170085128,-1.7241521083534999,-1.6155321002224543,-2.3390024618274765,-1.8212137209972616,-2.338109292376503,-1.664013412572904,-1.0123861390970958,-1.9098590805325077
2018-12-04,Juarez,-1.3027583647108247,-2.089825580376483,-2.1798058275261454,-2.0240319395001896,-2.0537450964663804,-1.8904818800855743,-1.9711680291689935,-2.3345082435513267,-1.8483946089983447,-1.8136227125588436,-2.1574527761609428,-1.8743828786669081,-2.2103802624303373,-1.7778957274321425,-1.2194489315976789,-1.2217233763183015,-1.465198821474492,-2.3058528907946365,-2.2553359058953637,-2.3140084204302154,-1.9584118381555253,-2.1473239073882597,-2.187221018467722,-1.6409081149682714,-1.9856836376773546,-1.90840035444564,-2.2009741298931975,-1.4180047665567466,-1.191227013494568,-1.8587092354797048,-1.786334553105035,-2.2185778308784707,-1.1626083152690212,-1.7113062483457653,-0.21541930079421207
2020-04-06,Lewis,-1.0475983040858137,-1.89795940443887,-1.8015159487186316,-1.7938180830029813,-1.8953550689379548,-1.484678323268233,-1.7225578433364996,-2.2475295262005086,-1.5641844863716732,-1.7536619051525548,-0.7844660382528783,-0.6845461487589648,-1.0090216880223808,-1.1769983250590852,-1.0547780362595358,-1.2535874501642834,-1.3439168472546696,-2.025866115671596,-1.8932340762375433,-1.9290130403886343,-1.7091992340682476,-1.7869667919953256,-1.8194360797806701,-1.2545122004966098,-1.877558569260621,-1.781394060735018,-2.11598469743597,-1.4957976927327798,-1.3948874578628128,-1.4869047236316506,-1.3776367379415748,-1.802365629742825,-1.3619530509986628,-1.6399012543444285,-1.9921808086383688
